phrase,prompt
I feel a soreness in my knees when I walk,Joint pain
i was travelling by ship and i feel dizzy.,Feeling dizzy
It is like I have a needle pushing through my heart.,Heart hurts
I have eruptions on my face that come and go .,Acne
The warming system of my house is broken and  feel so cold,Feeling cold
I got injured exercising,Injury from sports
When I sneeze very hard I feel ear ache,Ear ache
i'm disappointed,Emotional pain
i feel pain in my stomach,Stomach ache
Anytime I play tennis I feel a shoulder pain,Shoulder pain
I can't walk because i have a great foot ache,Foot ache
My nose is congested all the time and there's this gluey secretion in my throat that makes it impossible for me to sleep. I often have to nap sitting down.,Hard to breath
I feel a great pain in my shoulder when i try to lift something heavy,Shoulder pain
I feel pain in my neck while I'm working.,Neck pain
Anytime I play tennis I feel a shoulder pain,Shoulder pain
I can't walk because i have a great foot ache,Foot ache
I've noticed my hair falling out a lot lately.,Hair falling out
"I've tried reading books, but nothing can cheer me up.",Emotional pain
I feel cold and chills even though my clothes are heavy,Feeling cold
I feel sad like hurt or pain,Emotional pain
I could not exercise because of my knee pain,Knee pain
When I lift my arms up I have a soreness in my shoulders,Shoulder pain
There feels like a swollen knot at my shoulderblade with pain shooting from that,Shoulder pain
I have a headache almost every day,Head ache
I feel a huge emotional pain after I broke up with my girlfriend.,Emotional pain
My hair is falling when I am combing it.,Hair falling out
My body feels like it's in a refrigerator.,Feeling cold
i feel pain in my neck,Neck pain
When I brush my hair I notice big clumps of hair coming out in the brush.,Hair falling out
This long scar on my left buttock is from falling off my mountain bike.,Injury from sports
My lower back hurts but it improves if I stretch it,Muscle pain
My chest acne breaks out and never clears up.,Acne
Why is my shoulder aching when I try to pick up the laundry?,Shoulder pain
I think I overdid it when I carried all that lumber from the yard. My lower back is killing me.,Back pain
I feel a strange and powerful pain inside my rib cage,Heart hurts
I think there's fluid in my ears.,Ear ache
i cant sleep because of cough,Cough
My biceps started aching after I went to the gym,Muscle pain
I just can't seem to get warm.  Even when everyone around me is warm I always feel cold.,Feeling cold
My acne itches and oozes.,Acne
I feel a bone-on-bone pain in my knees when I climb stairs.,Joint pain
"At first it feels really numb, but then a thousand needles start to prick through my foot.",Foot ache
My skin is itchy and inflamed,Skin issue
I have front head pain and when I get it the light bothers me.,Head ache
I feel a great pain in my shoulder when i try to lift something heavy,Shoulder pain
My neck is annoying me I can't sleep bacause of it,Neck pain
My muscle in my shoulder burns when I move my arm.,Muscle pain
Every morning when I wake up my neck feels like I slept on in wrong.,Muscle pain
My neck hurts me and i can't stand with this pain,Neck pain
My ear ache when I'm listening to music.,Ear ache
I'm not feeling good I get infection wound,Infected wound
"When I drink a lot, I get a headache",Head ache
The knee feels like it rusted and I suddenly cannot bend it anymore.,Knee pain
I feel a bone-on-bone pain in my knees when I climb stairs.,Joint pain
My heart is beating fast and it scares me.,Heart hurts
It itches inside my ears.,Ear ache
I have cloudy eyes,Blurry vision
When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy
"i have whooping cough with excess mucous, need mucolytic.",Cough
I feel like there is something swollen and inflamed at the back of my knee.,Knee pain
I feel pain in the knee when walking,Knee pain
When I stand I feel dizzy I do not know why,Feeling dizzy
When I walk I get a stabbing pain in the top of my foot,Foot ache
I have pain in my chest that saddens me.,Heart hurts
"i was diagnosed with pneumonia, i can't breath easily.",Hard to breath
I have a neck pain when I sit in-front of my laptop.,Neck pain
When I carry heavy things i feel like breaking my back,Back pain
"i walked a long for 3 km, i feel pain in my foot like foot ache",Foot ache
I feel pain in the knee,Knee pain
It feels like I can't take a deep breath,Hard to breath
When i'm driving my eyes see in double,Blurry vision
I feel a bone-on-bone pain in my knees when I climb stairs.,Joint pain
My heart feels like it's going to explode.,Heart hurts
My son has a lot of acne.,Acne
I have shooting pains up and down my back.,Back pain
It feels like my heart is going to leap out of my body. It hurts.,Heart hurts
Every morning when I wake up my neck feels like I slept on in wrong.,Muscle pain
When I get out of bed in the morning my body feels very weak.,Body feels weak
My ear is ringing.,Ear ache
My sore isn't healing well and it's been like this for two weeks.,Open wound
I feel so sore in my stomach area.,Stomach ache
i have a problem in my back i cannot extend it,Back pain
My right shoulder clicks when I move my arm.,Shoulder pain
Yesterday I had a shouder pain,Shoulder pain
I have a sharp pain in my abdomen.,Internal pain
I can't walk well I have an ache in my foot,Foot ache
My back hurts a lot when I bend,Back pain
"I have a blurry vision and i can't see in the darkness , what is the reason doctor ?",Blurry vision
I have a great stomach ache and i can't eat any thing,Stomach ache
The area around my heart doesn't feel good.,Heart hurts
I can't walk well I have an ache in my foot,Foot ache
I don't know why I'm constantly sad.,Emotional pain
my ear hurts me badly,Ear ache
I feel great pain in the head,Head ache
"when i get up, i feel dizzy and fall down.",Feeling dizzy
I have a cut that is red and swollen.,Infected wound
When I eat too much sugar my body gets weak and dizzy.,Body feels weak
After a breakup  I feel something strange in me.,Emotional pain
I feel increased heart rate with prick,Heart hurts
My foot hurts and I can't turn it.  Maybe it's broken.,Foot ache
I sliced myself deeply with a knife while I was cooking,Open wound
i feel pain in my knee,Knee pain
I feel like there is something swollen and inflamed at the back of my knee.,Knee pain
Everything looks like beeing in a smoky area.,Blurry vision
I cannot bear this squeezing sensation I have in my chest.,Heart hurts
Pain in the large neck,Neck pain
my hand open wound got infected,Infected wound
i have a pain in my elbow joint,Joint pain
I have blurred vision.,Blurry vision
I travelled by plane a few days ago and this time during landing my ears remained clogged and painful.,Ear ache
I'm not feeling good I can't take my breath,Hard to breath
I feel very weak in my body,Body feels weak
Whenever I stand up I feel dizzy.,Feeling dizzy
i was watching tv and suddenly have blurry vision,Blurry vision
My skin is itchy and inflamed,Skin issue
When I bend over I get a shooting pain down my back,Back pain
My body feels weak and I tried to make it relax but it stills pain me,Body feels weak
When I eat sugar I notice my vision blurs.,Blurry vision
I feel so sore in my stomach area.,Stomach ache
my temperature dropped and my body get synosed,Feeling cold
"My hair is coming out in chunks, especially when I wash it",Hair falling out
There is a sharp pain in my calve.,Muscle pain
My ear hurts and it's worse when I swallow.  My ear is very painful and Tylenol hasn't helped.,Ear ache
When I tried to answer the phine call I found that I can't hear the voice of the speaker,Ear ache
"I cut my finger opening a can, it won't stop bleeding and the wound is gaping and open",Open wound
I have terrible pain in my heart,Heart hurts
I have this strange rash on my arm.,Skin issue
i feel dizzy after severe diarrhea,Feeling dizzy
i can't see well,Blurry vision
My knee hurts when I play squash,Knee pain
"I can't stand up, I feel my brain is moving inside my skull.",Head ache
I noticed an important decrease in my vision when I try to look at things up close.,Blurry vision
My body feels weak and i think that my face is fade and i can't sleep well,Body feels weak
When i get up i see my skin vague,Skin issue
When I tried to take care if my hair I found that it is falling out,Hair falling out
My throught is so sore.,Neck pain
I got acne when I ate chili,Acne
My son has a lot of acne.,Acne
my head hurts me badly,Head ache
I m feeling cold though the temperature is high,Feeling cold
I can't move my head up and down.,Neck pain
I travelled by plane a few days ago and this time during landing my ears remained clogged and painful.,Ear ache
I fell a stiffness in my elbows and shoulders,Joint pain
I have difficulty in breathing in crowded places.,Hard to breath
I complain alot with skin allergy,Skin issue
i cant breathe,Cough
"I couldn't stop shaking or unclench my jaw, that's how cold I was.",Feeling cold
I feel pain in the knee when walking,Knee pain
I do not feel better in my muscles,Muscle pain
heavy breath with fatigue,Emotional pain
i feel pain in my stomach,Stomach ache
I'm in need for a treatment for my hair fall,Hair falling out
I have pain in my stomach,Stomach ache
i feel pain in my back,Back pain
I have a break in the skin inside one of my nostrils that has become infected and is now filled with pus.,Infected wound
I had a cold the last time I travelled by plane and I still have a discomfort in my ears.,Ear ache
"My left ear is ok, but the right one feels like it's being stabbed with a nail.",Ear ache
I have a headache every time I eat ice cream,Head ache
i feel pain in my neck,Neck pain
"The pain is intense especially when I go down the stairs, it feels like something has snapped inside my knee.",Knee pain
"when i get up, i feel dizzy and fall down.",Feeling dizzy
I feel a lot of pain in the joints.,Joint pain
When I'm tired I feel my head heavy,Head ache
My sore looks like its not healing well.,Infected wound
When I play sports  I have some burning sensation in my spine,Back pain
i can't see well,Blurry vision
my left side aches much,Internal pain
My hair is falling out after I take a shower.,Hair falling out
I don't do anything at home and still I feel exhausted.,Body feels weak
I do not know why I feel cold,Feeling cold
I have shoulder pain when I try to carry my groceries.,Shoulder pain
"redness, swelling, and difficulty walking",Knee pain
I have pimples on my back.,Acne
My hair is falling out in huge amount,Hair falling out
I feel sad like hurt or pain,Emotional pain
When i'm awake in the morning I feel strange and have vertigo,Feeling dizzy
When i'm driving my eyes see in double,Blurry vision
When I'm tired I feel my head heavy,Head ache
My heart feels like it's going to explode.,Heart hurts
"After playing tennis,  I had a powerful sensation close to my neck",Shoulder pain
I can't walk well I have an ache in my foot,Foot ache
I feel like l fell in hot water,Skin issue
My son had a root canal and the dentist accidentally cut the inside of his cheek and now it will not heal.,Infected wound
Is there a cure for acne?,Acne
When I tried to take care if my hair I found that it is falling out,Hair falling out
My body feels weak and i think that my face is fade and i can't sleep well,Body feels weak
I feel discomfort throughout the body in general,Body feels weak
My neck feels stiff,Neck pain
there is a red stain in my skin,Skin issue
I cannot bear this squeezing sensation I have in my chest.,Heart hurts
I had internal pain and gases when I ate indian spicy food yesterday,Internal pain
My head hurts in the back and the pain lasts all day.,Head ache
All my body is in a bad case and i need a good treatment,Joint pain
There is pain in my joints. I can not bear pain,Joint pain
I'm having a hard time hearing.,Ear ache
My foot hurts and I can't turn it.  Maybe it's broken.,Foot ache
When I play football I have joint pain.,Joint pain
There is an injured person,Infected wound
I feel pain in my right shoulder after the tennis match.,Injury from sports
When I do hard exercises I feel great pain in my muscles.,Muscle pain
I have a break in the skin between my thumb and index finger and it will not close.,Open wound
"i was injured during football match, i was diagnosed with Cruciate ligament",Injury from sports
When I play football I have joint pain.,Joint pain
I've been feeling very sad lately,Emotional pain
What helps cuts heal faster?,Open wound
"can't do any exercise, i feel weak",Body feels weak
i cant sleep because of cough,Cough
The warming system of my house is broken and  feel so cold,Feeling cold
I toppled over while jumping to catch the ball.,Injury from sports
My cut yellow or greenish-colored pus,Infected wound
My muscles feel tired,Body feels weak
My head is spinning when I get up.,Feeling dizzy
I can't stand with this horrible feeling in my stomach,Stomach ache
My knee feels weak and it gave way the other day at the top of the stairs.  Luckily there was a rail to hold on to.,Knee pain
I feel suicidal.,Emotional pain
I have a cut that has become red and oozes puss.,Infected wound
Have severe cold and cough,Cough
I feel pain inside and I can not identify it,Internal pain
i have difficulty moving my neck,Neck pain
My knees ache on cold and rainy days.,Knee pain
When I was young I had an injury from sports in my knee.,Injury from sports
I cut my hand a couple of days ago and although I didn't think I needed it stitches it hasn't closed up.,Open wound
I get clusters of pimples on my face that never go away.,Acne
I feel dizzy after doing a muscular effort.,Feeling dizzy
Since I went into the forest  I have pain on my ear,Ear ache
I have pain in my chest that saddens me.,Heart hurts
"Even if the temperature is high in the house,  my body is always cold",Feeling cold
When I'm tired I feel my head heavy,Head ache
I have some pain when i'm walking around my knees,Joint pain
My acne itches and oozes.,Acne
My entire body is freezing.,Feeling cold
i have muscle pain at my left leg.,Muscle pain
I have a pain in my head,Head ache
I have a pain internal,Internal pain
There feels like a swollen knot at my shoulderblade with pain shooting from that,Shoulder pain
using hair tonic,Hair falling out
I feel like I've always got something in my throat,Cough
When I remember her I feel down,Emotional pain
My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected.,Infected wound
I can`t stop coughing.,Cough
The wound is still open,Open wound
I stopped sports because I get Injury from sports,Injury from sports
standing less than five minutes and my back start to ache,Back pain
My joints ache whenever it is cold,Joint pain
"It started as a tinnitus, but today the pain is throbbing and unbearable.",Ear ache
I feel deep Tingling when I touch Acne followed by bad sensation,Acne
Every time I take a deep breath I start coughing,Cough
I feel a clicking sensation in my knee each time I step.,Joint pain
my heart hurts me,Heart hurts
"I started taking swimming lessons and I guess I swallowed too much water through my nose, because this sinusitis is killing me now.",Injury from sports
I usually have a bad cough when I get flu.,Cough
i feel that it's hard to breath for me specially after running or making any effort,Hard to breath
I feel a huge emotional pain after I broke up with my girlfriend.,Emotional pain
i cant sleep because of cough,Cough
I feel pain in my head with a vertigo,Head ache
My head hurts when I'm doing this.,Head ache
It feels like someone stuck a knife into my shoulder,Shoulder pain
When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy
When I lift my arms up I have a soreness in my shoulders,Shoulder pain
Why is my shoulder aching when I try to pick up the laundry?,Shoulder pain
i have muscle pain at my left leg.,Muscle pain
When I carry heavy things i feel like breaking my back,Back pain
"I feel a pain on the left side of my chest, where my heart is",Heart hurts
I complain alot with skin allergy,Skin issue
my hair falling out,Hair falling out
It feels like I can't take a deep breath,Hard to breath
My head gets dizzy when I try to get up.,Feeling dizzy
I feel dizzy after doing a muscular effort.,Feeling dizzy
I get terrible headaches every few months and when I get them my vision is affected.,Head ache
"i feel hurt, lot of pain in my heart",Emotional pain
I can't move my head up and down.,Neck pain
I feel depressed when I see my hair falling out,Hair falling out
I walk every day but now I get short of breath after going only a short way.,Hard to breath
I can't sleep I have a hard cough,Cough
I feel like the room is spinning,Feeling dizzy
I have a sharp pain in my neck,Neck pain
I'm having a hard time reading because the letters are all fuzzy,Blurry vision
there pain in my foot,Foot ache
I feel a huge emotional pain after I broke up with my girlfriend.,Emotional pain
My arm hurts when I stretch,Muscle pain
His infected wound was beginning to rot.,Infected wound
My chest hurts when I smoke,Internal pain
i was playing football and injuried with joint pain.,Joint pain
I'm suffering from sharp cough Accompanied by  phlegm,Cough
My knees ache on cold and rainy days.,Knee pain
i feel pain in my foot,Foot ache
I feel muscle pain every time I make an extra effort.,Muscle pain
My nose is congested all the time and there's this gluey secretion in my throat that makes it impossible for me to sleep. I often have to nap sitting down.,Hard to breath
When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy
My entire body is freezing.,Feeling cold
I have eruptions on my face that come and go .,Acne
"When I move on my shoulder, pain shoots down my arm",Shoulder pain
"I started taking swimming lessons and I guess I swallowed too much water through my nose, because this sinusitis is killing me now.",Injury from sports
I don't do anything at home and still I feel exhausted.,Body feels weak
I feel something hurt me in taking breath and I cant take my breath,Hard to breath
I have blurry vision after I used a wrong medicine.,Blurry vision
I'm in need for a treatment for my hair fall,Hair falling out
It's hard to see things,Blurry vision
"I cut my finger opening a can, it won't stop bleeding and the wound is gaping and open",Open wound
I had a sharp pain in my stomach,Stomach ache
My ear hurts and it's worse when I swallow.  My ear is very painful and Tylenol hasn't helped.,Ear ache
"My head hurts and I lose the sensation in my face, then lose sight in my eye",Head ache
I must see a doctor i have an open wound,Open wound
"my cbc report indicate 10 hb, i feel tired of little work.",Body feels weak
I visited many doctors but they can't find the right treatment toget my hair back,Hair falling out
I broke my ankle while doing rock climbing in the Carpathians.,Injury from sports
When I stand up too quick my vision is blurry.,Blurry vision
I have a sharp pain in my lower stomach.,Stomach ache
I have a skin rash after eating an ice-cream.,Skin issue
i feel pain in my knee,Knee pain
I have pain in my stomach,Stomach ache
There is pain in the muscles I do not know caused,Muscle pain
"after playing football, i have muscle pain with my both legs.",Muscle pain
My back is hurting so much.,Back pain
Yesterday I had a shouder pain,Shoulder pain
i was travelling by ship and i feel dizzy.,Feeling dizzy
I feel weak all over.,Body feels weak
I have a throbbing in my joints,Joint pain
"I feel dizzy when I set in-front of my laptop for an hour or two, what possibly could be the reason?",Feeling dizzy
When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy
It is like I have a needle pushing through my heart.,Heart hurts
"I have a blurry vision and i can't see in the darkness , what is the reason doctor ?",Blurry vision
I feel weak all over.,Body feels weak
I feel a burning sensation in my guts about 2 hours after each meal.,Stomach ache
The warming system of my house is broken and  feel so cold,Feeling cold
Yesterday I had a shouder pain,Shoulder pain
I had an accident and my wound was open when I arrived to hospital,Open wound
I feel very hard to breathe,Hard to breath
I get a knee pain when I walk a lot,Knee pain
My calves feel like they are tight as knots and are throbbing,Muscle pain
i'm disappointed,Emotional pain
My shoulder has agreat pain,Shoulder pain
i feel weak,Body feels weak
when i raise my hand i feel pain in my shoulder.,Shoulder pain
I feel pain when parting loved ones,Emotional pain
My acne gets worse when it is hot,Acne
I lose a lot of my hair,Hair falling out
I have a lot of mucus when I cough.,Cough
"My daughter was bit by her cat and now her hand is sore, red and swollen and the wound is oozing liquid.",Infected wound
When I remember her I feel down,Emotional pain
My joints ache whenever it is cold,Joint pain
i have a strong shoulder pain,Shoulder pain
I have a dull ache in  my lower back which makes it difficult to move,Back pain
I've been feeling very sad lately,Emotional pain
I'm having a hard time hearing.,Ear ache
I had a sharp pain in my stomach,Stomach ache
When I walk it's hard to breath.,Hard to breath
All my body is in a bad case and i need a good treatment,Joint pain
I can hardly move my neck.  It hurts.,Neck pain
there is acne on my face,Acne
i have injured myself during the soccer match,Injury from sports
my hair isn't well,Hair falling out
fell skull is cracked like nuts,Head ache
The nerves were so damaged during the operation on my ankle that I cannot stand being touched on the scar.,Foot ache
I tried to put my glasses to see more clear but cant find any change,Blurry vision
i have muscle pain at my left leg.,Muscle pain
I can't stand up or sit down I have a pain in my back that annoys me,Back pain
I feel a sharp pain in my stomach,Internal pain
I have shoulder pain when I try to carry my groceries.,Shoulder pain
My wound was infected when i was planting some flowers in my garden,Infected wound
I have throbing in my shoulder,Shoulder pain
"Laceration, rupture or opening in the skin",Open wound
I feel like the room is spinning,Feeling dizzy
I hate my acne.,Acne
My face break out badly every month around my cycle.,Acne
When I'm too high I start to feel dizzy,Feeling dizzy
I can't stop coughing,Cough
I feel a great amount of pressure on the sides of my neck,Shoulder pain
I feel lightheaded,Feeling dizzy
I have internal pain whenever I come down with a cold.,Internal pain
"I fell through a window while I was cleaning it and I have a shard of glass stuck in my left eye, I think it is pretty serious, please help!",Open wound
The knee feels like it rusted and I suddenly cannot bend it anymore.,Knee pain
"I cough a lot when I smell perfume, what is wrong with my lungs?",Cough
"You won't believe me, but this infected wound on my hand is from a paper cut I didn't take seriously.",Infected wound
My neck hurts me and i can't stand with this pain,Neck pain
I suffered a deep wound in my hand and I can not stop the bleeding,Infected wound
"I get tired too fast, I can barely put on my clothes in the morning.",Body feels weak
Is there a cure for acne?,Acne
My head ache since I woke up this morning.,Head ache
When I think of my parents I feel pain,Emotional pain
I feel pain in my shoulders when I write on the keyboard.,Shoulder pain
I wake up with a stiff neck every morning.  Massage helps but then a couple of days later it's back again.,Neck pain
"My heart hurts while I'm sad, why?",Heart hurts
I have a red rash that is itchy on my skin,Skin issue
My knee catches and hurts when I first stand up after sitting.,Knee pain
i have a problem in my middle ear made by infection,Ear ache
I have a wound between my toes that gets better overnight and then reopens ever day when I wear dress shoes to work.,Open wound
I feel pain in the knee when walking,Knee pain
I feel like the world goes round and round,Feeling dizzy
"redness, swelling, and difficulty walking",Knee pain
When i'm awake in the morning I feel strange and have vertigo,Feeling dizzy
When I get out of bed in the morning my body feels very weak.,Body feels weak
"I feel like I just can't cope anymore, I feel overwhelmed and like I just can't get a break.",Emotional pain
After eating  I have burning sensation inside of me.,Stomach ache
It feels like someone is hitting my head with a hammer.  I feel pain on the top of my head and it throbs.,Head ache
What's the symptoms of appendicitis?,Internal pain
I complain alot with my neck pain and i really need to be better,Neck pain
I have acne all over my face,Acne
"When I move my shoulder, it's like lightning is being sent through my shoulder",Shoulder pain
I feel pain in my eyes I can see fog,Blurry vision
I have a pain in my joint,Joint pain
The pain in my ear is unbearable.,Ear ache
Chronic disease of hair follicles and sebaceous glands,Acne
i feel cold,Feeling cold
I have acne all over my face,Acne
I have a break in the skin between my thumb and index finger and it will not close.,Open wound
Sometimes I feel like a claw on my chest that leaves me breathless.,Hard to breath
Whenever I stand up I feel dizzy.,Feeling dizzy
"when i get up, i feel dizzy and fall down.",Feeling dizzy
I have a cut that has become red and oozes puss.,Infected wound
I feel discomfort throughout the body in general,Body feels weak
"My skin color on my back is red, I don't know why.",Skin issue
My hair is falling out in huge amount,Hair falling out
I feel fluid trying to come up when I cough.,Cough
I feel abdominal pain,Stomach ache
i have a great pain in my foot like thrombing pain with relaxing my pain releif,Foot ache
"I have a foot ache in winter, or when it feels cold, why?",Foot ache
I cut my hand a couple of days ago and although I didn't think I needed it stitches it hasn't closed up.,Open wound
I was kicked in the head playing soccer last night.,Injury from sports
i cant breathe,Cough
I got a divorce last year and I just can't stop dwelling on how to get revenge on my ex husband.,Emotional pain
I'm having a hard time reading because the letters are all fuzzy,Blurry vision
I do not feel better in my muscles,Muscle pain
I can't sleep I have a hard cough,Cough
"i can't move my leg, there is pain in the joint",Joint pain
I was kicked in the head playing soccer last night.,Injury from sports
i feel pain in my foot,Foot ache
I feel a tightness in my chest,Hard to breath
"I have a blurry vision during my swimming training in the pool, why?",Blurry vision
My foot hurts me a lot of playing football,Foot ache
I'm having a hard time reading because the letters are all fuzzy,Blurry vision
I used alot of pain killer to get better but i still feel the same back pain,Back pain
I feel pain in the knee,Knee pain
My shoulder aches when I try to lift five pounds.,Shoulder pain
I have a red rash that is itchy on my skin,Skin issue
I feel emotionally crushed,Emotional pain
"My heart hurts while I'm sad, why?",Heart hurts
I feel a huge emotional pain after I broke up with my girlfriend.,Emotional pain
My face break out badly every month around my cycle.,Acne
I feel depressed when I see my hair falling out,Hair falling out
I can't carry anything I have a pain in my shoulder,Shoulder pain
I feel very weak in my body,Body feels weak
I feel dizzy after doing a muscular effort.,Feeling dizzy
I break out on my face very frequently,Acne
I tried alot of cream but i still feel the same skin problem,Skin issue
my neck hurts me and i can't look down or up,Neck pain
there pain in my foot,Foot ache
my left side aches much,Internal pain
i have issue with my skin,Skin issue
My knee doesn't want to bend well.,Knee pain
There is an injured person,Infected wound
"My daughter was bit by her cat and now her hand is sore, red and swollen and the wound is oozing liquid.",Infected wound
It's hard to see things,Blurry vision
I made lots and lots of analysis to know the main reason for my stomach ache,Stomach ache
I have a cut that is red and swollen.,Infected wound
i have a great pain in my foot like thrombing pain with relaxing my pain releif,Foot ache
After a breakup  I feel something strange in me.,Emotional pain
It hurts when I raise my arm up,Shoulder pain
It itches inside my ears.,Ear ache
The pain in my back dwwls like a sharp knife in it,Back pain
"When I move my shoulder, it's like lightning is being sent through my shoulder",Shoulder pain
My shower drain is full of hair every time.,Hair falling out
my heart hurts me,Heart hurts
The pain feels like it's right below the skin,Muscle pain
I have a dry skin,Skin issue
My knees ache on cold and rainy days.,Knee pain
i have a pain in my trapes,Muscle pain
using hair tonic,Hair falling out
My upper back has been sore for a week.,Back pain
Sometimes I cough because I'm a smoker,Cough
My hair is falling when I am combing it.,Hair falling out
I don't know why I'm constantly sad.,Emotional pain
discomfort or pain that is felt at some point along the front of the body between the neck and upper abdomen.,Internal pain
"My stomach aches after I drink any soda drink, why?",Stomach ache
I feel pain in my eyes I can see fog,Blurry vision
I have a feeling like my whole body is complaining,Joint pain
When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy
"I feel a pain on the left side of my chest, where my heart is",Heart hurts
My muscles in my lower back are aching.,Muscle pain
I feel a sharp pain in my stomach,Internal pain
When my grand father died I felt a hard emotional pain,Emotional pain
I had alot of exercise yesterday so i feel sharp muscle pains,Muscle pain
I'm not good i'm feeling so cold,Feeling cold
I have cloudy eyes,Blurry vision
"When I go to stand, my head starts swirling",Feeling dizzy
"You won't believe me, but this infected wound on my hand is from a paper cut I didn't take seriously.",Infected wound
I was playing soccer and I twisted my ankle,Injury from sports
When I tried to be warm and wear more clothes I found that I was still cold,Feeling cold
discomfort or pain that is felt at some point along the front of the body between the neck and upper abdomen.,Internal pain
I have a feeling like my whole body is complaining,Joint pain
I feel heart pain when I walk a lot,Heart hurts
This long scar on my left buttock is from falling off my mountain bike.,Injury from sports
I don't have problems taking in breath but out breath is so heavy,Hard to breath
I feel dizzy and out of sight,Feeling dizzy
I have tried to relief it but I can't,Body feels weak
I hve cut my finger because of playing football and I  to apply pain relief cream but it does not help,Injury from sports
I think I sprained my ankle it really hurts.,Injury from sports
is my cut infected or just healing?,Infected wound
My face is all broken out with pimples.,Acne
My acne itches and oozes.,Acne
Is pimples a skin disease?,Acne
I have a dull ache in my stomach.  It gets worse after I eat.,Internal pain
I have a sharp pain in my abdomen.,Internal pain
My knees seem to grind as I go up or down stairs.,Knee pain
I have some pain when i'm walking around my knees,Joint pain
My acne is really embarassing. It's so read.,Acne
My stomach feels full and upset  and bloating after big meals.,Stomach ache
I can't turn my neck to the left without feeling a stabbing pain,Neck pain
When I eat sugar I notice my vision blurs.,Blurry vision
After walking I have some pain under my foot,Foot ache
Even though I'm an adult my face keeps breaking out in pimples.,Acne
My ear is ringing.,Ear ache
Something dark is there on my arm,Skin issue
There is a tingling sensation in my neck.,Neck pain
I hit my head at the basketball game.  Could I have a concussion?,Injury from sports
When I'm tired I feel my head heavy,Head ache
My acne itches and oozes.,Acne
I broke my ankle while doing rock climbing in the Carpathians.,Injury from sports
My ear hurts and it's worse when I swallow.  My ear is very painful and Tylenol hasn't helped.,Ear ache
I feel really sad all the time.,Emotional pain
My heart is pumping fast and I'm having a hard time to breath.,Hard to breath
I have a very rash sensation close to my arms,Skin issue
When I get out of bed in the morning my body feels very weak.,Body feels weak
i feel head ache,Head ache
My head hurts whenever I try to do something.,Head ache
My shoulder hurts me so much,Shoulder pain
I feel lightheaded,Feeling dizzy
My knee hurts when I walk,Knee pain
I can't stop coughing,Cough
My knee hurts when I play squash,Knee pain
Surgical wound infections,Infected wound
i can't ride my car at night because i have blurry vision.,Blurry vision
i have issue with my skin,Skin issue
I have this strange rash on my arm.,Skin issue
fell skull is cracked like nuts,Head ache
i have muscle pain at my left leg.,Muscle pain
I need a kind of cream wich make my muscles more relaxed,Muscle pain
I feel something hurt me in taking breath and I cant take my breath,Hard to breath
It is like I have a needle pushing through my heart.,Heart hurts
"I used to be out of breath after going up a dozen of stairs, but now I struggle to breath even when I sit down.",Hard to breath
There is so much pain when I move my arm.,Shoulder pain
When I bend over I get a shooting pain down my back,Back pain
The area around my heart doesn't feel good.,Heart hurts
My shoulder has agreat pain,Shoulder pain
It is like I have a needle pushing through my heart.,Heart hurts
"I started taking swimming lessons and I guess I swallowed too much water through my nose, because this sinusitis is killing me now.",Injury from sports
I feel a burning sensation in my guts about 2 hours after each meal.,Stomach ache
i'm disappointed,Emotional pain
i feel weak,Body feels weak
I need a kind of cream wich make my muscles more relaxed,Muscle pain
"Had I stepped on a needle it wouldn't have hurt so much, like this damned spur in my heel.",Foot ache
Why is my shoulder aching when I try to pick up the laundry?,Shoulder pain
i have muscle pain at my left leg.,Muscle pain
i feel pain in my stomach,Stomach ache
I have difficulty in breathing in crowded places.,Hard to breath
I feel pain in the lower back,Back pain
My face break out badly every month around my cycle.,Acne
I have a dull ache in my head,Head ache
His infected wound was beginning to rot.,Infected wound
I feel cold although we are in summer.,Feeling cold
"I have a foot ache in winter, or when it feels cold, why?",Foot ache
heavy breath with fatigue,Emotional pain
My biceps started aching after I went to the gym,Muscle pain
I'm not feeling good I can't take my breath,Hard to breath
My body feels weak and I tried to make it relax but it stills pain me,Body feels weak
I have blurred vision.,Blurry vision
using hair tonic,Hair falling out
My shoulder hurts me so much,Shoulder pain
I can't work good I have a pain in my knee,Knee pain
I feel like the world goes round and round,Feeling dizzy
I feel great pain in the head,Head ache
"i walked a long for 3 km, i feel pain in my foot like foot ache",Foot ache
When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy
I've noticed my hair falling out a lot lately.,Hair falling out
Pain in the large neck,Neck pain
My wound opened up again,Open wound
i hit the ground when trying to shoot a basketball,Injury from sports
My son has a lot of acne.,Acne
Every time it rains I get hives on my belly and sides.,Skin issue
I can't walk because i have a great foot ache,Foot ache
longitudinal burning line across back with hard respiratory movements,Back pain
"I hardly have enough stength to get up,",Body feels weak
i have issue with my skin,Skin issue
My ear hurts when I touch it.,Ear ache
I usually have a bad cough when I get flu.,Cough
I feel a sharp pain in my head when I think too hard.,Head ache
